Option,Type,Description
name,String,The name of the form field.
value,String | Number | Boolean,The initial value of the form field.
type,String,The type of the form field (text, number, textarea, checkbox, file).
className,String (optional),CSS class name for styling the input field.
parentClassName,String (optional),CSS class name for styling the parent div of the input field.
child,React.ReactNode (optional),React node for rendering additional content inside the parent div of the input field.
customInput,Custom React Component (optional),Custom React component for rendering the input field.
validationSchema,Zod Schema (optional),Zod schema for validating the input field value.
label,String (optional),Label text for the input field.
isRequired,Boolean (optional),Boolean indicating whether the input field is required.
errorClassName,String (optional),CSS class name for styling the error message.